index,compounds,rA (A),rB (A),rX (A),vA,vB,vX,eA,eB,eX,a (A)
1,BaAmO 3,1.35,0.85,1.4,2,4,-2,0.89,1.3,3.44,4.357
2,BaCeO 3,1.35,0.87,1.4,2,4,-2,0.89,1.12,3.44,4.397
3,BaFeO3,1.35,0.59,1.4,2,4,-2,0.89,1.83,3.44,3.994
4,BaHfO 3,1.35,0.71,1.4,2,4,-2,0.89,1.3,3.44,4.171
5,BaIrO3,1.35,0.63,1.4,2,4,-2,0.89,2.2,3.44,4.1
6,BaMoO3,1.35,0.65,1.4,2,4,-2,0.89,2.16,3.44,4.04
7,BaNbO3,1.35,0.68,1.4,2,4,-2,0.89,1.6,3.44,4.08
8,BaNpO3,1.35,0.87,1.4,2,4,-2,0.89,1.36,3.44,4.384
9,BaPaO3,1.35,0.9,1.4,2,4,-2,0.89,1.5,3.44,4.45
10,BaPbO3,1.35,0.78,1.4,2,4,-2,0.89,2.33,3.44,4.265
11,BaPrO3,1.35,0.85,1.4,2,4,-2,0.89,1.13,3.44,4.354
12,BaPuO3,1.35,0.86,1.4,2,4,-2,0.89,1.28,3.44,4.36
13,BaRuO3,1.35,0.68,1.4,2,4,-2,0.89,2.2,3.44,4.05
14,BaSnO3,1.35,0.69,1.4,2,4,-2,0.89,1.96,3.44,4.116
15,BaTbO 3,1.35,0.76,1.4,2,4,-2,0.89,1.22,3.44,4.285
16,BaThO3,1.35,0.94,1.4,2,4,-2,0.89,1.3,3.44,4.48
17,BaTiO3,1.35,0.61,1.4,2,4,-2,0.89,1.54,3.44,4.012
18,BaUO3,1.35,0.89,1.4,2,4,-2,0.89,1.38,3.44,4.387
19,BaZrO3,1.35,0.72,1.4,2,4,-2,0.89,1.33,3.44,4.193
20,BiAlO3,1.03,0.53,1.4,3,3,-2,2.2,1.61,3.44,3.723
21,BiGaO3,1.03,0.62,1.4,3,3,-2,2.2,1.81,3.44,3.834
22,BiInO3,1.03,0.8,1.4,3,3,-2,2.2,1.78,3.44,4.111
23,BiScO3,1.03,0.75,1.4,3,3,-2,2.2,1.36,3.44,4.08
24,CaHfO3,1,0.71,1.4,2,4,-2,1,1.3,3.44,3.99
