index,compounds,rA (A),rB (A),rX (A),vA,vB,vX,eA,eB,eX,a (A),a [Jiang] (A),reference
1,BaAmO 3,1.35,0.85,1.4,2,4,-2,0.89,1.3,3.44,4.357,4.319,[1]
2,BaCeO 3,1.35,0.87,1.4,2,4,-2,0.89,1.12,3.44,4.397,4.346,[1]
3,BaFeO3,1.35,0.59,1.4,2,4,-2,0.89,1.83,3.44,3.994,3.998,[1]
4,BaHfO 3,1.35,0.71,1.4,2,4,-2,0.89,1.3,3.44,4.171,4.141,[1]
5,BaIrO3,1.35,0.63,1.4,2,4,-2,0.89,2.2,3.44,4.1,4.045,[1]
6,BaMoO3,1.35,0.65,1.4,2,4,-2,0.89,2.16,3.44,4.04,4.068,[1]
7,BaNbO3,1.35,0.68,1.4,2,4,-2,0.89,1.6,3.44,4.08,4.104,[1]
8,BaNpO3,1.35,0.87,1.4,2,4,-2,0.89,1.36,3.44,4.384,4.346,[1]
9,BaPaO3,1.35,0.9,1.4,2,4,-2,0.89,1.5,3.44,4.45,4.386,[1]
10,BaPbO3,1.35,0.78,1.4,2,4,-2,0.89,2.33,3.44,4.265,4.229,[1]
11,BaPrO3,1.35,0.85,1.4,2,4,-2,0.89,1.13,3.44,4.354,4.319,[1]
12,BaPuO3,1.35,0.86,1.4,2,4,-2,0.89,1.28,3.44,4.36,,[3]
13,BaRuO3,1.35,0.68,1.4,2,4,-2,0.89,2.2,3.44,4.05,,[3]
14,BaSnO3,1.35,0.69,1.4,2,4,-2,0.89,1.96,3.44,4.116,4.117,[1]
15,BaTbO 3,1.35,0.76,1.4,2,4,-2,0.89,1.22,3.44,4.285,4.204,[1]
16,BaThO3,1.35,0.94,1.4,2,4,-2,0.89,1.3,3.44,4.48,4.439,[1]
17,BaTiO3,1.35,0.61,1.4,2,4,-2,0.89,1.54,3.44,4.012,4.021,[1]
18,BaUO3,1.35,0.89,1.4,2,4,-2,0.89,1.38,3.44,4.387,4.372,[1]
19,BaZrO3,1.35,0.72,1.4,2,4,-2,0.89,1.33,3.44,4.193,4.154,[1]
20,BiAlO3,1.03,0.53,1.4,3,3,-2,2.2,1.61,3.44,3.723,,[3]
21,BiGaO3,1.03,0.62,1.4,3,3,-2,2.2,1.81,3.44,3.834,,[3]
22,BiInO3,1.03,0.8,1.4,3,3,-2,2.2,1.78,3.44,4.111,,[3]
23,BiScO3,1.03,0.75,1.4,3,3,-2,2.2,1.36,3.44,4.08,,[3]
24,CaHfO3,1,0.71,1.4,2,4,-2,1,1.3,3.44,3.99,,[3]
25,CaMoO3,1,0.65,1.4,2,4,-2,1,2.16,3.44,3.897,–,[1]
26,CaRuO3,1,0.68,1.4,2,4,-2,1,2.2,3.44,3.84,,[3]
27,CaSnO3,1,0.69,1.4,2,4,-2,1,1.96,3.44,3.95,,[3]
28,CaTiO 3,1,0.61,1.4,2,4,-2,1,1.54,3.44,3.84,3.838,[1]
29,CaVO 3,1,0.61,1.4,2,4,-2,1,1.63,3.44,3.767,3.838,[1]
30,CaZrO3,1,0.72,1.4,2,4,-2,1,1.33,3.44,4.01,,[3]
31,CeAlO3,1.01,0.54,1.4,3,3,-2,1.12,1.61,3.44,3.772,3.757,[1]
32,CsIO3,1.67,0.95,1.4,1,5,-2,0.79,2.66,3.44,4.674,4.596,[1]
33,EuAlO3,0.95,0.54,1.4,3,3,-2,1.2,1.61,3.44,3.725,3.724,[1]
34,EuCrO3,0.95,0.62,1.4,3,3,-2,1.2,1.66,3.44,3.803,3.824,[1]
35,EuFeO3,0.95,0.65,1.4,3,3,-2,1.2,1.83,3.44,3.836,3.856,[1]
36,EuGaO3,0.95,0.62,1.4,3,3,-2,1.2,1.81,3.44,3.84,,[3]
37,EuInO3,0.95,0.8,1.4,3,3,-2,1.2,1.78,3.44,4.03,,[3]
38,EuTiO3,0.95,0.67,1.4,3,3,-2,1.2,1.54,3.44,3.905,3.889,[1]
39,GdAlO3,0.94,0.54,1.4,3,3,-2,1.2,1.61,3.44,3.71,3.719,[1]
40,GdCrO3,0.94,0.62,1.4,3,3,-2,1.2,1.66,3.44,3.795,3.819,[1]
41,GdFeO3,0.94,0.65,1.4,3,3,-2,1.2,1.83,3.44,3.82,3.851,[1]
42,KNbO3,1.38,0.64,1.4,1,5,-2,0.82,1.6,3.44,4.007,4.072,[1]
43,KPaO3,1.38,0.78,1.4,1,5,-2,0.82,1.5,3.44,4.341,4.243,[1]
44,KTaO 3,1.38,0.64,1.4,1,5,-2,0.82,1.5,3.44,3.988,4.072,[1]
45,KUO3,1.38,0.76,1.4,1,5,-2,0.82,1.38,3.44,4.29,4.218,[1]
46,LaAlO 3,1.03,0.54,1.4,3,3,-2,1.1,1.61,3.44,3.778,3.768,[1]
47,LaCrO3,1.03,0.62,1.4,3,3,-2,1.1,1.66,3.44,3.874,3.866,[1]
48,LaFeO3,1.03,0.65,1.4,3,3,-2,1.1,1.83,3.44,3.92,3.898,[1]
