index,compounds,rA (A),rB(A),rX (A),vA,vB,vX,eA,eB,eX,a (A),b (A),c (A),a (A) [5],b (A) [5],c (A) [5]
,NaUO3,1.39,0.76,1.4,1,5,-2,0.93,1.38,3.44,5.775,5.905,8.25,5.607,5.627,8.02
,NaTaO3,1.39,0.64,1.4,1,5,-2,0.93,1.5,3.44,5.494,5.513,7.751,5.415,5.434,7.745
,NaNbO3,1.39,0.64,1.4,1,5,-2,0.93,1.6,3.44,5.51,5.57,7.77,5.415,5.434,7.745
,NaPaO3,1.39,0.78,1.4,1,5,-2,0.93,1.5,3.44,5.82,5.92,8.36,5.639,5.659,8.065
,CaMnO3,1.34,0.53,1.4,2,4,-2,1,1.55,3.44,5.27,5.275,7.464,5.292,5.312,7.519
,CaCrO3,1.34,0.55,1.4,2,4,-2,1,1.66,3.44,5.287,5.316,7.486,5.324,5.345,7.565
,CaVO3,1.34,0.58,1.4,2,4,-2,1,1.63,3.44,5.326,5.352,7.547,5.374,5.394,7.635
,CaTiO3,1.34,0.605,1.4,2,4,-2,1,1.54,3.44,5.381,5.443,7.645,5.415,5.436,7.694
,CaRuO3,1.34,0.68,1.4,2,4,-2,1,2.2,3.44,5.36,5.53,7.67,5.538,5.559,7.869
,CaMoO3,1.34,0.65,1.4,2,4,-2,1,2.16,3.44,5.45,5.58,7.8,5.489,5.51,7.799
,CaNbO3,1.34,0.68,1.4,2,4,-2,1,1.6,3.44,5.56,5.77,8.016,5.538,5.559,7.869
,CaSnO3,1.34,0.69,1.4,2,4,-2,1,1.96,3.44,5.519,5.668,7.885,5.554,5.576,7.892
,CaHfO3,1.34,0.71,1.4,2,4,-2,1,1.3,3.44,5.568,5.732,7.984,5.587,5.609,7.939
,CaZrO3,1.34,0.72,1.4,2,4,-2,1,1.33,3.44,5.587,5.758,8.008,5.604,5.625,7.962
,CaUO3,1.34,0.89,1.4,2,4,-2,1,1.38,3.44,5.78,5.97,8.29,5.883,5.906,8.359
,BaPbO3,1.61,0.775,1.4,2,4,-2,0.89,2.33,3.44,6.024,6.065,8.506,6.138,6.162,8.721
,SrRuO3,1.44,0.68,1.4,2,4,-2,0.95,2.2,3.44,5.53,5.57,7.847,5.702,5.724,8.102
,SrUO3,1.44,0.89,1.4,2,4,-2,0.95,1.38,3.44,6.01,6.17,8.6,6.047,6.071,8.593
,SrIrO3,1.44,0.625,1.4,2,4,-2,0.95,2.2,3.44,5.58,5.6,7.89,5.612,5.634,7.974
,SrHfO3,1.44,0.71,1.4,2,4,-2,0.95,1.3,3.44,5.785,5.786,8.182,5.752,5.774,8.173
,SrZrO3,1.44,0.72,1.4,2,4,-2,0.95,1.33,3.44,5.792,5.814,8.196,5.768,5.79,8.196
,SrPbO3,1.44,0.775,1.4,2,4,-2,0.95,2.33,3.44,5.86,5.958,8.331,5.858,5.881,8.324
,SrCeO3,1.44,0.87,1.4,2,4,-2,0.95,1.12,3.44,5.986,6.125,8.531,6.015,6.038,8.546
,LaCrO3,1.36,0.615,1.4,3,3,-2,1.1,1.66,3.44,5.515,5.479,7.753,5.498,5.521,7.794
,LaGaO3,1.36,0.62,1.4,3,3,-2,1.1,1.81,3.44,5.526,5.473,7.767,5.507,5.529,7.806
,LaFeO3,1.36,0.645,1.4,3,3,-2,1.1,1.83,3.44,5.556,5.565,7.862,5.548,5.57,7.864
