Solids,rA,rB,rX,vA,vB,vX,EA,EB,EX,a,b,c
NaUO3,1.02,0.76,1.35,1,5,-2,0.93,1.38,3.44,5.775,5.905,8.25
NaTaO3,1.02,0.64,1.35,1,5,-2,0.93,1.5,3.44,5.494,5.513,7.751
NaNbO3,1.02,0.64,1.35,1,5,-2,0.93,1.6,3.44,5.51,5.57,7.77
NaPaO3,1.02,0.78,1.35,1,5,-2,0.93,1.5,3.44,5.82,5.92,8.36
CaMnO3,1,0.53,1.35,2,4,-2,1,1.55,3.44,5.27,5.275,7.464
CaCrO3,1,0.55,1.35,2,4,-2,1,1.66,3.44,5.287,5.316,7.486
CaVO3,1,0.58,1.35,2,4,-2,1,1.63,3.44,5.326,5.352,7.547
CaTiO3,1,0.605,1.35,2,4,-2,1,1.54,3.44,5.381,5.443,7.645
CaRuO3,1,0.62,1.35,2,4,-2,1,2.2,3.44,5.36,5.53,7.67
CaMoO3,1,0.65,1.35,2,4,-2,1,2.16,3.44,5.45,5.58,7.8
CaNbO3,1,0.68,1.35,2,4,-2,1,1.6,3.44,5.5338,5.6541,7.9131
CaSnO3,1,0.69,1.35,2,4,-2,1,1.96,3.44,5.519,5.668,7.885
CaHfO3,1,0.71,1.35,2,4,-2,1,1.3,3.44,5.568,5.732,7.984
CaZrO3,1,0.72,1.35,2,4,-2,1,1.33,3.44,5.587,5.758,8.008
CaUO3,1,0.89,1.35,2,4,-2,1,1.38,3.44,5.78,5.97,8.29
BaPbO3,1.35,0.775,1.35,2,4,-2,0.89,2.33,3.44,6.024,6.065,8.506
SrRuO3,1.18,0.62,1.35,2,4,-2,0.95,2.2,3.44,5.53,5.57,7.847
SrUO3,1.18,0.89,1.35,2,4,-2,0.95,1.38,3.44,6.01,6.17,8.6
SrIrO3,1.18,0.625,1.35,2,4,-2,0.95,2.2,3.44,5.58,5.6,7.89
SrHfO3,1.18,0.71,1.35,2,4,-2,0.95,1.3,3.44,5.785,5.786,8.182
SrZrO3,1.18,0.72,1.35,2,4,-2,0.95,1.33,3.44,5.792,5.814,8.196
